tconst,date,enjoyment_score,quality_score
tt0160009,2024-01-09,1.5,
tt1340138,2024-01-08,0.0,
tt6718170,2024-01-01,2.0,
tt12261776,2023-12-31,2.0,
tt19883634,2023-12-27,1.0,
tt8337264,2023-12-26,2.0,
tt0119698,2023-12-26,3.5,
tt13651794,2023-12-12,0.0,
tt13238346,2023-12-12,3.0,
tt21113540,2023-12-09,3.0,
tt10640346,2023-12-09,3.0,
tt0057012,2023-12-02,4.0,
tt13287846,2023-11-26,3.0,
tt0800325,2023-11-12,2.5,
tt14781036,2023-11-05,3.0,
tt0862467,2023-11-02,3.0,
tt5537002,2023-10-27,4.0,
tt13110998,2023-10-25,3.0,
tt8019518,2023-10-20,2.0,
tt3228774,2023-10-14,3.0,
tt0887883,2023-10-13,3.5,
tt11858890,2023-10-07,3.0,
tt1034314,2023-10-06,2.5,
tt0339291,2023-09-30,2.0,
tt1517268,2023-09-26,3.0,
tt1912398,2023-09-23,2.5,
tt22687790,2023-09-17,2.0,
tt9335794,2023-09-15,4.0,
tt17024450,2023-09-10,3.0,
tt9603212,2023-09-05,2.0,
tt10638522,2023-08-27,3.0,
tt20465746,2023-08-14,2.0,
tt17309864,2023-07-30,2.0,
tt0120669,2023-07-26,4.0,
tt0075314,2023-07-25,4.0,
tt15398776,2023-07-23,3.5,
tt1462764,2023-07-15,2.5,
tt0105236,2023-07-09,3.0,
tt14230388,2023-07-09,3.0,
tt3427252,2023-07-05,2.0,
tt19719904,2023-06-20,2.5,
tt8649344,2023-06-10,3.0,
tt9362722,2023-06-02,4.0,
tt0022100,2023-05-31,3.0,
tt13521006,2023-05-23,4.0,
tt0117951,2023-05-20,2.5,
tt15452062,2023-05-06,2.0,
tt16419074,2023-04-28,3.0,
tt10366206,2023-04-24,3.0,
tt6146586,2023-04-17,3.0,
tt4425200,2023-04-01,2.5,
tt2911666,2023-03-30,2.0,
tt0795368,2023-03-12,2.0,
tt1499658,2023-03-12,2.0,
tt1016150,2023-03-12,3.5,
tt14209916,2023-03-11,2.5,
tt1921064,2023-03-11,2.5,
tt0017136,2023-03-04,3.5,
tt0066434,2023-03-01,3.0,
tt0052357,2023-02-17,3.5,
tt6902676,2023-02-11,3.0,
